Items_Recalled,Age,Recall_Condition,Recall_Condition_Name
8,1,1,Counting
6,1,1,Counting
4,1,1,Counting
6,1,1,Counting
7,1,1,Counting
6,1,1,Counting
5,1,1,Counting
7,1,1,Counting
9,1,1,Counting
7,1,1,Counting
10,1,2,Rhyming
7,1,2,Rhyming
8,1,2,Rhyming
10,1,2,Rhyming
4,1,2,Rhyming
7,1,2,Rhyming
10,1,2,Rhyming
6,1,2,Rhyming
7,1,2,Rhyming
7,1,2,Rhyming
14,1,3,Adjective
11,1,3,Adjective
18,1,3,Adjective
14,1,3,Adjective
13,1,3,Adjective
22,1,3,Adjective
17,1,3,Adjective
16,1,3,Adjective
12,1,3,Adjective
11,1,3,Adjective
20,1,4,Imagery
16,1,4,Imagery
16,1,4,Imagery
15,1,4,Imagery
18,1,4,Imagery
16,1,4,Imagery
20,1,4,Imagery
22,1,4,Imagery
14,1,4,Imagery
19,1,4,Imagery
21,1,5,Intentional
19,1,5,Intentional
17,1,5,Intentional
15,1,5,Intentional
22,1,5,Intentional
16,1,5,Intentional
22,1,5,Intentional
22,1,5,Intentional
18,1,5,Intentional
21,1,5,Intentional
9,2,1,Counting
8,2,1,Counting
6,2,1,Counting
8,2,1,Counting
10,2,1,Counting
4,2,1,Counting
6,2,1,Counting
5,2,1,Counting
7,2,1,Counting
7,2,1,Counting
7,2,2,Rhyming
9,2,2,Rhyming
6,2,2,Rhyming
6,2,2,Rhyming
6,2,2,Rhyming
11,2,2,Rhyming
6,2,2,Rhyming
3,2,2,Rhyming
8,2,2,Rhyming
7,2,2,Rhyming
11,2,3,Adjective
13,2,3,Adjective
8,2,3,Adjective
6,2,3,Adjective
14,2,3,Adjective
11,2,3,Adjective
13,2,3,Adjective
13,2,3,Adjective
10,2,3,Adjective
11,2,3,Adjective
12,2,4,Imagery
11,2,4,Imagery
16,2,4,Imagery
11,2,4,Imagery
9,2,4,Imagery
23,2,4,Imagery
12,2,4,Imagery
10,2,4,Imagery
19,2,4,Imagery
11,2,4,Imagery
10,2,5,Intentional
19,2,5,Intentional
14,2,5,Intentional
5,2,5,Intentional
10,2,5,Intentional
11,2,5,Intentional
14,2,5,Intentional
15,2,5,Intentional
11,2,5,Intentional
11,2,5,Intentional
