subject,age,word_type,set,item,letter_first,session,sentence,order,response,letterwrite,correct
S01,5.249315068,1,A,teach,t,1,She loves to teach her students,1,th,0.571428571,1
S01,5.249315068,1,A,deeper,d,1,Can you make the hole deeper?,2,tr,0.571428571,0
S01,5.249315068,1,A,beach,b,1,I like to go to the beach,3,bh,0.571428571,1
S01,5.249315068,1,A,piece,p,1,There was a missing puzzle piece,4,b,0.571428571,0
S01,5.249315068,1,A,teepee,t,1,It's fun to sleep in a teepee,5,t,0.571428571,1
S01,5.249315068,1,A,case,k,1,She kept her jewelry in a case,6,an,0.571428571,0
S01,5.249315068,1,A,bean,b,1,Jack bought a magic bean,7,b,0.571428571,1
S01,5.249315068,1,A,beaver,b,1,The boy wrote a story about a beaver,8,b,0.571428571,1
S01,5.249315068,1,A,cake,k,1,The family eats yummy cake,9,k,0.571428571,1
S01,5.249315068,1,A,peach,p,1,Susan ate some peach pie for dessert,10,p,0.571428571,1
S01,5.249315068,1,A,bead,b,1,She found a little bead,11,b,0.571428571,1
S01,5.249315068,1,A,jail,j,1,The robber went to jail,12,h,0.571428571,0
S01,5.249315068,0,A,bed,b,2,He slept in a bed,1,bt,0.571428571,1
S01,5.249315068,0,A,touch,t,2,Please don't touch the animals,2,t,0.571428571,1
S01,5.249315068,0,A,dollar,d,2,Can you give me a dollar?,3,t,0.571428571,0
S01,5.249315068,0,A,bird,b,2,My friend saw a cute little bird,4,bt,0.571428571,1
S01,5.249315068,0,A,tower,t,2,The children wanted to climb the tower,5,t,0.571428571,1
S01,5.249315068,0,A,patch,p,2,Mom sewed a patch on his jeans,6,th,0.571428571,0
S01,5.249315068,0,A,cook,k,2,Grandpa is a good cook,7,h,0.571428571,0
S01,5.249315068,0,A,cup,k,2,She drank water from a blue cup,8,h,0.571428571,0
S01,5.249315068,0,A,pet,p,2,She wants to get a pet,9,b,0.571428571,0
S01,5.249315068,0,A,butter,b,2,The boy ate his bread with some butter,10,b,0.571428571,1
S01,5.249315068,0,A,bun,b,2,The hotdog is on a bun,11,b,0.571428571,1
S01,5.249315068,0,A,jet,j,2,The pilot flew a jet,12,e,0.571428571,0
S02,4.82739726,1,B,teacher,t,1,When I grow up I want to be a teacher,1,t,0.857142857,1
S02,4.82739726,1,B,peel,p,1,The clown slipped on a banana peel,2,p,0.857142857,1
S02,4.82739726,1,B,beet,b,1,He didn't want to eat the beet,3,b,0.857142857,1
S02,4.82739726,1,B,beef,b,1,Hamburgers are made of beef,4,b,0.857142857,1
S02,4.82739726,1,B,team,t,1,The girl cheered for her favorite team,5,t,0.857142857,1
S02,4.82739726,1,B,pizza,p,1,Her favorite food is pizza,6,p,0.857142857,1
S02,4.82739726,1,B,came,k,1,"Yesterday, the big package came",7,k,0.857142857,1
S02,4.82739726,1,B,cave,k,1,The children explored the spooky cave,8,k,0.857142857,1
S02,4.82739726,1,B,jeep,g,1,His mom drives a black jeep,9,j,0.857142857,1
S02,4.82739726,1,B,deal,d,1,Let's make a deal,10,d,0.857142857,1
S02,4.82739726,1,B,beetle,b,1,The ladybug talks to the beetle,11,b,0.857142857,1
S02,4.82739726,1,B,beep,b,1,"The shiny robot says ""beep""",12,b,0.857142857,1
S02,4.82739726,0,B,pill,p,2,The doctor gave the man a pill,1,p,0.857142857,1
S02,4.82739726,0,B,bat,b,2,She hit the ball with a bat,2,b,0.857142857,1
S02,4.82739726,0,B,battle,b,2,The soldiers fight in a battle,3,b,0.857142857,1
S02,4.82739726,0,B,picture,p,2,She smiled for the picture,4,p,0.857142857,1
S02,4.82739726,0,B,jam,g,2,Mom bought a jar of jam,5,g,0.857142857,1
S02,4.82739726,0,B,tag,t,2,The kids played a game of tag,6,t,0.857142857,1
S02,4.82739726,0,B,cap,k,2,The boy wore his favorite cap,7,k,0.857142857,1
S02,4.82739726,0,B,come,k,2,Today the package will come,8,k,0.857142857,1
S02,4.82739726,0,B,bib,b,2,The baby wears a bib,9,b,0.857142857,1
S02,4.82739726,0,B,turtle,t,2,In the book I saw a picture of a turtle,10,t,0.857142857,1
S02,4.82739726,0,B,bus,b,2,We rode on a bus,11,b,0.857142857,1
